FinancialyearID,GroupingName,RegionName,DistrictName,MuncipalityName,GMName,Date,TotalAssesments,TotalDemand,TotalCollection,TotalBal,%Collection
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,NonTax,2021-04-01T04:05:14.22,154.0,10268859.0,1695972.0,8572887.0,16.52
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,ProfessionTax,2021-04-01T04:05:16.76,5910.0,50125811.0,26665820.0,23459991.0,53.2
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,PropertyTax,2021-04-01T04:04:53.097,79098.0,252736171.0,119212049.0,133524122.0,47.17
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,SUC Charges,2021-04-01T04:05:47.913,57988.0,36806069.0,20908523.0,15897546.0,56.81
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,UGD,2021-04-01T11:21:12.87,2122.0,5024883.0,164266.0,4860617.0,3.27
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,VLTTax,2021-04-01T04:04:54.967,7867.0,88743372.0,16003544.0,72739828.0,18.03
2020-2021,Corporation,AVADI ,TIRUVALLUR,AVADI ,WaterSupply,2021-04-01T04:05:05.38,442.0,3710022.0,730345.0,2979677.0,19.69
2020-2021,Corporation,COIMBATORE ,COIMBATORE,COIMBATORE ,PropertyTax,2023-09-08T00:00:00,522122.0,0.0,0.0,0.0,
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,NonTax,2021-04-01T04:05:14.22,821.0,185287522.0,24444021.0,160843501.0,13.19
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,ProfessionTax,2021-04-01T04:05:16.76,2758.0,40444592.0,20922771.0,19521821.0,51.73
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,PropertyTax,2021-04-01T04:04:53.097,31313.0,319815699.0,94763558.0,225052141.0,29.63
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,SUC Charges,2021-04-01T04:05:47.913,29632.0,14168886.0,5860779.0,8308107.0,41.36
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,UGD,2021-04-01T11:21:12.87,9433.0,20682320.0,2365220.0,18317100.0,11.44
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,VLTTax,2021-04-01T04:04:56.733,4306.0,30583373.0,3482527.0,27100846.0,11.39
2020-2021,Corporation,CUDDALORE ,CUDDALORE,CUDDALORE ,WaterSupply,2021-04-01T04:05:05.38,11592.0,40176043.0,3435949.0,36740094.0,8.55
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,NonTax,2021-04-01T04:05:14.22,1403.0,118453081.0,32585605.0,85867476.0,27.51
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,ProfessionTax,2021-04-01T04:05:16.76,4660.0,28651508.0,13576538.0,15074970.0,47.39
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,PropertyTax,2021-04-01T04:04:53.097,45757.0,189480048.0,108022763.0,81457285.0,57.01
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,SUC Charges,2021-04-01T04:05:42.227,38557.0,13764298.0,8039901.0,5724397.0,58.41
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,UGD,2021-04-01T11:21:12.87,11353.0,26804762.0,8508530.0,18296232.0,31.74
2020-2021,Corporation,DINDIGUL ,DINDIGUL,DINDIGUL ,VLTTax,2021-04-01T04:04:54.967,1062.0,2816979.0,1299412.0,1517567.0,46.13
